File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
660291e7-6339-4740-ad7e-a63a8144374f	535058f3-6368-485f-8cb1-c57d96cf3d38.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-J9-A8CL	TCGA-J9-A8CL-01A	Primary Tumor
5e56857f-ebe8-4e65-8969-771c7bdac143	143942e6-b66a-4103-ba3c-309f01ccabbe.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-A46B	TCGA-EJ-A46B-01A	Primary Tumor
27d17d08-c0fe-4f14-bba2-d9db3551c7c9	c3040097-9298-4847-8ba5-03a1c94769d5.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-5509	TCGA-EJ-5509-01A	Primary Tumor
d80a44a8-6d81-4be0-98a0-48ccec90d4fd	2f785783-9303-4b18-9e87-0c33e65a5de9.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7782	TCGA-EJ-7782-01A	Primary Tumor
f3984f79-0347-4995-a68e-ffcd27a9128c	TCGA-EJ-7782-01A-21-A303-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-PRAD	TCGA-EJ-7782	TCGA-EJ-7782-01A	Primary Tumor
418d89ca-5818-48b5-8aae-9346dd96af2d	1c6e4a49-5f6a-4987-b79e-ebef96ba4cee.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7782	TCGA-EJ-7782-11A	Solid Tissue Normal
b5a521d2-60fa-4bab-80cc-0ddfa281246d	TCGA-G9-6378-01A-21-A304-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-PRAD	TCGA-G9-6378	TCGA-G9-6378-01A	Primary Tumor
3a394f4d-faf2-47de-b960-b964ea23b45a	67b5aad0-8e60-4802-8791-5c14b7a1305a.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-J9-A52C	TCGA-J9-A52C-01A	Primary Tumor
2ba243f8-3c22-4f42-9dff-4f4f568453bb	cf7f2ba0-bd76-4ccc-9e2c-e944adad3ca6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-G9-6356	TCGA-G9-6356-01A	Primary Tumor
86c770c7-028d-40fd-85f9-5b7b7821f384	6dffd8c9-848b-46ff-b72a-e30658982fdc.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7783	TCGA-EJ-7783-01A	Primary Tumor
a5e529b6-81b9-4fff-ba88-9e86110c464e	TCGA-G9-6356-01A-21-A304-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-PRAD	TCGA-G9-6356	TCGA-G9-6356-01A	Primary Tumor
dfb4b787-e291-4970-895d-bf42368cb4d7	d8ddfafb-4033-4d90-9958-46c4c0cb3d67.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KK-A8IG	TCGA-KK-A8IG-01A	Primary Tumor
da6e7b4e-fa86-46d8-bb10-08b88a4fe87d	bc373858-528c-48d5-b548-70f9a49a79b0.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-5505	TCGA-EJ-5505-01A	Primary Tumor
ba044d01-3500-4d9b-b09d-98bfb0846b5c	TCGA-EJ-5515-01A-21-A304-20_RPPA_data.tsv	Proteome Profiling	Protein Expression Quantification	TCGA-PRAD	TCGA-EJ-5515	TCGA-EJ-5515-01A	Primary Tumor
82e9eeed-d077-4f04-b03e-cdf4d8ca219d	e32fc401-5ddd-4dfc-8be4-8d4072a080c3.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7789	TCGA-EJ-7789-01A	Primary Tumor
7269ef3c-5780-4c16-a665-5a6230d664d2	82df1c63-65a3-4a28-9847-48333dc9d8d7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-XK-AAK1	TCGA-XK-AAK1-01A	Primary Tumor
