,sid29,sid30,sid31,sid147,sid148,sid149,sid150,sid32,sid33,sid34,sid152,sid153,sid154,sid1,sid2,sid3,sid112,sid113,sid114,sid115,sid104,sid105,sid106,sid247,sid248,sid249,sid250,sid108,sid109,sid110,sid252,sid253,sid254,sid74,sid75,sid76,sid207,sid208,sid209,sid210,sid77,sid78,sid79,sid212,sid213,sid214,sid44,sid45,sid46,sid167,sid168,sid169,sid170,sid47,sid48,sid49,sid172,sid173,sid174,sid89,sid90,sid91,sid227,sid228,sid229,sid230,sid92,sid93,sid94,sid232,sid233,sid234,sid14,sid15,sid16,sid127,sid128,sid129,sid130,sid17,sid18,sid19,sid132,sid133,sid134,sid59,sid60,sid61,sid187,sid188,sid189,sid190,sid62,sid63,sid64,sid192,sid193,sid194
specimenName,BMP2_24_C1_A,BMP2_24_C1_B,BMP2_24_C1_C,BMP2_24_C2_A,BMP2_24_C2_B,BMP2_24_C2_C,BMP2_24_C2_D,BMP2_48_C1_A,BMP2_48_C1_B,BMP2_48_C1_C,BMP2_48_C2_A,BMP2_48_C2_B,BMP2_48_C2_C,ctrl_0_C1_A,ctrl_0_C1_B,ctrl_0_C1_C,ctrl_0_C2_A,ctrl_0_C2_B,ctrl_0_C2_C,ctrl_0_C2_D,EGF_24_C1_A,EGF_24_C1_B,EGF_24_C1_C,EGF_24_C2_A,EGF_24_C2_B,EGF_24_C2_C,EGF_24_C2_D,EGF_48_C1_A,EGF_48_C1_B,EGF_48_C1_C,EGF_48_C2_A,EGF_48_C2_B,EGF_48_C2_C,HGF_24_C1_A,HGF_24_C1_B,HGF_24_C1_C,HGF_24_C2_A,HGF_24_C2_B,HGF_24_C2_C,HGF_24_C2_D,HGF_48_C1_A,HGF_48_C1_B,HGF_48_C1_C,HGF_48_C2_A,HGF_48_C2_B,HGF_48_C2_C,IFNG_24_C1_A,IFNG_24_C1_B,IFNG_24_C1_C,IFNG_24_C2_A,IFNG_24_C2_B,IFNG_24_C2_C,IFNG_24_C2_D,IFNG_48_C1_A,IFNG_48_C1_B,IFNG_48_C1_C,IFNG_48_C2_A,IFNG_48_C2_B,IFNG_48_C2_C,OSM_24_C1_A,OSM_24_C1_B,OSM_24_C1_C,OSM_24_C2_A,OSM_24_C2_B,OSM_24_C2_C,OSM_24_C2_D,OSM_48_C1_A,OSM_48_C1_B,OSM_48_C1_C,OSM_48_C2_A,OSM_48_C2_B,OSM_48_C2_C,PBS_24_C1_A,PBS_24_C1_B,PBS_24_C1_C,PBS_24_C2_A,PBS_24_C2_B,PBS_24_C2_C,PBS_24_C2_D,PBS_48_C1_A,PBS_48_C1_B,PBS_48_C1_C,PBS_48_C2_A,PBS_48_C2_B,PBS_48_C2_C,TGFB_24_C1_A,TGFB_24_C1_B,TGFB_24_C1_C,TGFB_24_C2_A,TGFB_24_C2_B,TGFB_24_C2_C,TGFB_24_C2_D,TGFB_48_C1_A,TGFB_48_C1_B,TGFB_48_C1_C,TGFB_48_C2_A,TGFB_48_C2_B,TGFB_48_C2_C
experimentalTimePoint,24,24,24,24,24,24,24,48,48,48,48,48,48,0,0,0,0,0,0,0,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48,24,24,24,24,24,24,24,48,48,48,48,48,48
collection,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2,C1,C1,C1,C2,C2,C2,C2,C1,C1,C1,C2,C2,C2
ligand,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,BMP2,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,ctrl,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,EGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,HGF,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,IFNG,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,OSM,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,PBS,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB,TGFB
replicate,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C,A,B,C,A,B,C,D,A,B,C,A,B,C
Well_Cell_Count,1543,1452,1265,1356,1395,1408,759.5,2587,3713,2505,3171,2754,1314,728,746.8,634.5,852.2,1250,792.9,737.8,1672,2298,1624,1739,1776,1831,964,4681,5553,5026,4866,4687,2532,1360,2003,1062,1507,1272,1441,871,2264,2703,2047,2970,2778,1285,1653,1651,1463,1044,1524,2023,778.5,2484,3720,1637,2934,3555,1337,1933,1582,1362,1686,1890,1735,776,3105,3142,2773,2934,3188,1833,591,527,602,669.5,766,577.5,274.7,293,388,482.5,593,601,383.5,1579,1529,1228,1239,1766,1437,594,3097,2702,2098,2754,3231,1401
Image_Cell_Count,128.6,121,105.4,113,116.2,117.3,63.29,235.2,309.4,208.8,264.2,229.5,109.5,60.67,63.42,53.86,71.02,104.2,66.07,61.48,139.3,191.5,135.3,144.9,148,152.6,82.72,468.1,462.8,418.8,405.5,390.6,218.1,113.3,166.9,88.5,125.6,106,120.1,72.59,205.8,225.2,170.6,247.5,231.5,107.1,137.8,137.6,121.9,87,127,168.6,64.88,207,310,136.4,244.5,296.2,111.4,161.1,131.8,113.5,140.5,157.5,173.5,64.66,258.8,261.8,231.1,244.5,265.7,152.7,49.25,43.92,50.16,55.8,63.84,48.12,22.89,24.42,32.33,42.07,49.42,50.08,32.47,131.6,127.4,102.3,103.2,147.2,119.8,49.5,258.1,225.2,174.8,229.5,269.2,116.8
Intensity_IntegratedIntensity_EdU,NA,NA,NA,65330,57600,55590,59370,67340,70020,74480,81650,73370,69310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94460,94450,82730,91620,84000,100400,95260,111600,112900,103900,NA,NA,NA,85170,56420,58740,66010,41020,51120,45850,42730,40590,54290,NA,NA,NA,76490,71960,75590,61540,38110,38800,38290,43990,44240,54820,NA,NA,NA,89100,71040,73500,74760,31100,35280,37960,46180,41100,65880,NA,NA,NA,32300,32000,29000,38650,35780,34160,29780,29140,33000,32110,NA,NA,NA,71790,76280,65720,66830,75050,98220,88370,87740,82140,83370
Intensity_IntegratedIntensity_OriginalDNA,320700,324400,336300,327600,338400,311500,336400,374400,384600,376400,387600,366800,336200,294400,325600,318600,319800,336700,339800,396500,340200,382300,380000,357700,383300,370500,397500,413200,436700,431400,426000,415100,410500,321500,358000,356800,354800,342300,347100,364600,348600,389800,339800,337100,327000,360800,351000,389300,375200,328300,334900,346800,347200,397000,414900,419400,360000,347300,362400,336300,373000,385000,370800,354900,346500,393400,348700,368800,376000,370100,335200,377800,346000,407400,341100,315900,355800,346500,399600,396800,401000,287400,298800,352400,334000,327600,345500,338700,345300,356800,331600,332600,397500,431300,410000,399800,391300,373100
Intensity_LowerQuartileIntensity_EdU,NA,NA,NA,188.1,156.3,168.9,169.8,146.4,157,162.8,172.5,163.5,178.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282.6,256.5,230.8,246.8,182,228.1,210.2,241.9,263.6,253,NA,NA,NA,238.4,172.1,173.8,187,124.7,146.3,135.2,121.2,124.5,163,NA,NA,NA,241.1,208.1,216,180.4,117.5,123.4,123,129.7,131,171.9,NA,NA,NA,267.5,211.6,224.2,220.4,114.8,128.6,132,148.9,144.3,205.4,NA,NA,NA,120.8,113.4,113.7,123.8,114.2,116.1,112.4,112,112.8,119,NA,NA,NA,182.4,174,163.8,172.1,146.8,192,192.1,176.4,167.4,181.4
