antibody,BMP2_1,BMP2_24,BMP2_4,BMP2_48,BMP2_8,ctrl_0,EGF_1,EGF_24,EGF_4,EGF_48,EGF_8,HGF_1,HGF_24,HGF_4,HGF_48,HGF_8,IFNG_1,IFNG_24,IFNG_4,IFNG_48,IFNG_8,OSM_1,OSM_24,OSM_4,OSM_48,OSM_8,PBS_1,PBS_24,PBS_4,PBS_48,PBS_8,TGFB_1,TGFB_24,TGFB_4,TGFB_48,TGFB_8
14-3-3-beta,0.037349915936335853,-0.07509864838072862,-0.031542320763293365,-0.11160496648681402,0.008564570362322088,0.05698367419849777,-0.024802310945908315,-0.0838557253977515,0.04483528364499231,-0.2145462141749856,-0.018969793208093624,-0.04930697145385521,-0.08892980325940314,0.03470344942794599,-0.09679965159291257,0.02154266480338071,-0.01667788695069906,-0.08614408937487843,-0.0024159911317305793,-0.039286080107362426,-0.01326519568768446,0.011025488076799558,-0.08534255604455208,-0.003834135246849102,-0.10032770026505684,-0.07935557456091821,0.13910453249862914,0.010206974812195006,0.10275925251111191,0.14746663893299877,0.07751930400610736,-0.004204497682124681,-0.0544945038250759,0.0360262252310784,-0.04586278370937589,-0.060052418172092115
14-3-3-zeta,-0.025049992394576913,0.06130194367754086,0.011114222469646889,-0.0016713950753749671,-0.04588446917506195,-0.01744967837657834,-0.05843814193012185,-0.009598237116091634,0.010488584263587784,-0.13339947159404,-0.04279541727098771,-0.018142597594103596,0.0773934898953812,-0.007790403837006953,0.030814349961300946,-0.02810399267793687,-0.015918416649912503,0.046222946020907506,-0.05474712858605015,0.08803305162106605,0.006877616961792268,-0.027010408422762353,-0.07882408324029316,-0.03327869148546095,-0.006553316658463615,-0.014927109924630946,-0.04320937176612964,0.14204415772581971,-0.013775689197375044,0.12243203736955935,0.015851086985892736,-0.07201143907817277,0.19001574053371137,-0.052901925760435495,0.3151615570516379,-0.002069744722553362
4E-BP1,-0.029325933655972723,0.04363053471347618,0.02850075791065034,-0.1985368563802726,-0.06435939198931369,0.0707449746100434,-0.046937855183888766,0.08088749280679658,0.05763468159833894,0.14821673168797653,-0.019003599393233324,0.03152687326090369,0.14204451282313213,0.051488338068682186,0.13888783741861935,0.030504298300757897,-0.017358881787158765,-0.01434400687133662,-0.10750300890390022,0.05708094441918288,-0.02147836248501833,-0.08601970091128613,0.15152489109286602,-0.014475330445207999,0.2252318456729116,0.013729023936116835,0.27622762802016293,0.2557387874434572,0.163204908475377,-0.002639889094455784,0.22782059404963892,-0.07655221897558334,-0.057491036091535816,-0.05694929852008079,9.712673695943761e-6,0.023292920804757932
4E-BP1_pS65,-0.07074867441677174,0.34904863032325384,-0.019859609981646063,0.017827468306816627,0.01683488042488669,-0.08624401610787576,-0.00456058538810706,0.3145070734638412,-0.027635088989575368,0.2545754918687537,0.0753182144242953,-0.021432736247669757,0.14273220233290262,-0.06087583408951567,0.009939013379398245,0.044747618170533215,-0.05583875314400479,0.34802390788674975,-0.03719209010051499,0.006971422146267742,0.1495386059455424,-0.05345417009840982,0.14064496159935852,-0.003547978443422751,0.0449626705038914,0.035062877122904526,-0.24926407846277557,-0.2432308076038262,-0.1748661597162726,-0.7490957932408859,-0.060926200008272015,0.015992711401174895,0.301599809039554,-0.0024986478934962432,0.3558311526319953,0.2189743788226375
53BP1,0.03676045192421638,0.10909709151382241,-0.0818737957145515,0.06123692401592491,-0.0217634090761082,-0.10583218872640633,0.0020584344090486865,0.058065868404297255,0.007421045563538923,-0.020395745501508605,-0.006662811901896164,0.04036678079814257,0.018957233559821752,-0.01726564881373401,0.19599096272984323,0.007475675712015453,-0.024201709674958435,0.14082896490261404,-0.025305461574400147,0.14135675330937764,0.06656733579204188,0.013706465177948182,0.04389361732019502,-0.0021748052865073956,0.21469011784050132,-0.02273687469867691,-0.027597675727178642,0.07257801324608981,-0.06374193903568777,-0.4300703393882568,-0.013383139047559594,0.00973708467204294,0.03569171227634539,-0.04956738430148133,0.20698306668404803,-0.037735001429251534
A-Raf,-0.03396558778677213,-0.0028788799287252373,0.011777383349297543,-0.07084742551505119,-0.005649657795845952,0.08031393740867057,0.020667319861213652,-0.0029098909947466996,0.04219945706880102,0.006092430625020449,-0.025526577846691482,-0.10950392213585596,-0.022126518665400427,-0.032499782574850006,-0.15599328439795085,-0.039460487389720446,-0.05074348816950586,0.02465511851365818,0.021336929562210855,-0.08513959787648225,-3.242236650804945e-4,-0.022727892095908697,0.040915133193165885,0.04317851213092785,-0.13125822246565616,0.040359710584676266,-0.05748608249097479,-0.33047171482510423,0.017483318485522106,-0.2204583914819933,-0.1872382087224712,-0.023964685770247462,0.1425404947999274,-0.0211908596389275,0.0031962554190289637,0.043554969022236274
ACC_pS79,0.2962075550342246,0.35078733784854327,-0.04795477720036262,0.053341857599621886,-0.056625261622662675,-0.8117581443045854,0.04757175045668313,-0.3323276285100966,-0.41134590589961206,0.07410114064259987,-0.36418519037716585,0.09964644904686674,-0.06989769061845365,-0.2995401038610118,0.07576097678428517,-0.32359348766628443,0.3619532344066223,0.1809174211997071,0.14967212578104724,0.09540207924354278,0.13000950908379671,0.21499874057878055,-0.06772503258946529,-0.19267379734173465,-0.27945779586546815,-0.3753339197208025,-0.2659371834631356,-0.42314932013118545,-0.6744626611656336,-0.3168799322682437,-0.6615923205403121,0.37739874583287764,0.10310480594550357,0.12340942339245797,0.337985215086433,0.08480224593241993
ACC1,-0.029364968737184628,0.28531624664630295,0.036968431926625404,0.29522279804359636,-0.05472701294128945,0.053613501520846055,0.021084409339933715,0.4365417215668949,0.062335323021518445,0.4881986229701925,0.0030521902079145772,0.04345000113842239,0.19465333206152777,-0.05725364951346923,0.22279752065027228,0.025176416139582755,-0.02044680569497481,0.2312633392381852,0.01587685576465908,0.027550929306523766,-0.0498245035623592,0.06278534067692028,0.26722347881868763,0.015743700112478092,0.2712300815205113,0.07397066409651963,0.2367305674023466,-0.22090281199520354,0.16839365793056327,-0.8894919360882618,0.016789901850136842,0.0277124715555981,0.20148255046704688,-0.0035137103274492944,0.41099169949942177,0.05617854536473676
ADAR1,0.06303824804797122,0.1589333198038424,-0.08416656904495902,0.03429249571352126,-0.019783017892514913,-0.0531659005321698,0.024967533411069165,0.08872347791498011,0.016045202156136005,0.11353725618234116,0.024399763228792934,0.02760474867304202,0.14636000998886048,0.02881569481547819,0.23490553683053378,0.041767000199703384,-0.04528727983036547,0.5836890308634591,-0.035163420958807444,0.7084515111529732,0.07911291614224977,-0.007316576548472741,0.17283556730600985,-0.020984143212915248,0.11483508423784383,-0.058423969202084244,-0.02039753012982721,0.12008706041212787,-0.09864525202032443,-0.054044435900934745,-0.07708401718156449,-0.005734762973167799,-0.04019316444562889,-0.09385301201936196,0.03599973223795044,-0.05976501613065882
Akt,-0.11229132981283521,0.13731291919180713,-0.2011485127723687,0.43878926964611226,-0.01526808161220018,-0.23734651003731091,-0.2500150327549851,0.3634172157381737,-0.1650666390612776,0.21813746441548448,-0.043700777385851264,-0.12839472803437318,0.15419103092052075,-0.09676698124573965,0.31911513555249227,0.0485514460372046,-0.07577804266116117,0.18402250670348208,-0.14096863019621816,0.2689796127955647,-0.009854575118013395,-0.1118639922811114,0.18681370175236658,-0.1454774719730276,0.33549705327268237,0.03161161374240819,-0.0994503046804551,-0.03244487424991254,-0.11338561342236066,-0.37998731129297025,-0.13027811807456585,-0.18604109160720078,0.1661800426323316,-0.19863262866361522,0.5983925078732385,-0.0173092957580686
